engine_type,multi_engine,tp_mods,shp,length,height,wing_span,fw,mew,auw,vmax,vcruise,vstall,hmax,hmax_one,roc,vlo,vl,range
Piston,Unknown,False,450.0,25.58333333,11.0,42.25,308.2,3100.0,4500.0,128.0,91.0,52.0,14500.0,Unknown,1060.0,1090.0,1150.0,190.0
Piston,Unknown,False,450.0,24.33333333,11.0,35.91666667,308.2,2870.0,4500.0,128.0,91.0,58.0,14000.0,Unknown,990.0,1145.0,750.0,190.0
Piston,Unknown,False,300.0,24.33333333,10.75,35.66666667,308.2,2410.0,3750.0,128.0,74.0,54.0,11500.0,Unknown,700.0,1200.0,1000.0,226.0
Piston,Unknown,False,275.0,24.33333333,10.75,35.66666667,221.1,2400.0,3750.0,114.0,74.0,54.0,10250.0,Unknown,600.0,1275.0,1000.0,117.0
Piston,Unknown,False,245.0,24.33333333,10.75,35.66666667,221.1,2300.0,3750.0,114.0,70.0,54.0,8500.0,Unknown,496.0,1300.0,1000.0,174.0
Piston,Unknown,False,220.0,24.33333333,10.75,35.66666667,221.1,2200.0,3600.0,114.0,70.0,48.0,7000.0,Unknown,435.0,1360.0,1000.0,190.0
Piston,Unknown,False,90.0,20.16666667,5.083333333,30.0,160.8,930.0,1450.0,112.0,108.0,37.0,17300.0,Unknown,640.0,1100.0,1200.0,410.0
Piston,Unknown,False,90.0,20.08333333,6.25,30.0,160.8,900.0,1400.0,113.0,104.0,50.0,16000.0,Unknown,600.0,1800.0,1600.0,400.0
Piston,Unknown,False,85.0,20.08333333,6.25,30.0,160.8,833.0,1400.0,99.0,96.0,50.0,13500.0,Unknown,550.0,2100.0,1850.0,360.0
Piston,Unknown,False,100.0,20.0,6.5,27.0,201.0,770.0,1320.0,120.0,113.0,38.0,12000.0,Unknown,1000.0,,,715.0
Propjet,Unknown,False,1295.0,,,59.2,1701.8,6751.0,16000.0,,166.0,54.0,,Unknown,780.0,,,610.0
Propjet,Unknown,False,1050.0,33.5,12.16666667,56.0,1447.2,5829.0,12500.0,158.0,126.0,52.0,8000.0,Unknown,650.0,,,600.0
Propjet,Unknown,False,750.0,,,50.0,1139.0,4488.0,9200.0,144.0,126.0,60.0,,Unknown,760.0,,,547.0
Propjet,Unknown,False,680.0,,,50.0,1139.0,4123.0,9200.0,144.0,126.0,60.0,,Unknown,760.0,,,547.0
Propjet,Unknown,False,680.0,,,49.0,1139.0,3739.0,7860.0,122.0,105.0,46.0,,Unknown,1000.0,,,574.0
Piston,Unknown,False,600.0,,,49.08333333,844.2,4135.0,7860.0,136.0,105.0,53.0,,Unknown,520.0,,,547.0
Propjet,Unknown,False,680.0,,,45.08333333,844.2,3550.0,7800.0,200.0,185.0,55.0,,Unknown,1500.0,,,
Piston,Unknown,False,600.0,,,45.08333333,844.2,3350.0,7300.0,190.0,182.0,55.0,,Unknown,2500.0,,,
Piston,Unknown,False,600.0,,,45.08333333,509.2,3250.0,7000.0,190.0,182.0,55.0,,Unknown,2500.0,,,
Piston,Unknown,False,600.0,,,45.08333333,509.2,3850.0,7300.0,164.0,152.0,56.0,,Unknown,1500.0,,,
Piston,Unknown,False,600.0,,,45.08333333,509.2,3800.0,7000.0,168.0,155.0,56.0,,Unknown,1600.0,,,
Piston,Unknown,False,180.0,22.91666667,7.583333333,32.0,268.0,1315.0,1800.0,158.0,150.0,52.0,17200.0,Unknown,1230.0,,,
Piston,Unknown,False,150.0,22.91666667,7.583333333,32.0,268.0,1260.0,1800.0,147.0,137.0,52.0,16000.0,Unknown,1000.0,,,404.0
Piston,Unknown,False,180.0,22.66666667,8.583333333,36.16666667,234.5,1315.0,2150.0,135.0,122.0,50.0,,Unknown,1080.0,1090.0,1245.0,
Piston,Unknown,False,150.0,22.58333333,7.583333333,34.41666667,261.3,1140.0,1650.0,116.0,109.0,43.0,17000.0,Unknown,1120.0,535.0,755.0,411.0
Piston,Unknown,False,150.0,22.75,6.083333333,34.41666667,247.9,1050.0,1650.0,109.0,103.0,37.0,18100.0,Unknown,1140.0,617.0,718.0,411.0
Piston,Unknown,False,150.0,22.66666667,,33.41666667,261.3,1140.0,1650.0,113.0,109.0,43.0,17000.0,Unknown,1120.0,535.0,755.0,411.0
Piston,Unknown,False,150.0,22.66666667,,34.25,234.5,1150.0,1650.0,113.0,111.0,39.0,17000.0,Unknown,1145.0,457.0,690.0,480.0
Piston,Unknown,False,150.0,22.58333333,6.666666667,34.5,261.3,1290.0,1800.0,97.0,90.0,46.0,16000.0,Unknown,800.0,,,248.0
Piston,Unknown,False,115.0,22.66666667,,33.41666667,234.5,1067.0,1650.0,109.0,107.0,44.0,12000.0,Unknown,725.0,716.0,775.0,301.0
Piston,Unknown,False,90.0,21.5,7.0,35.08333333,174.2,820.0,1450.0,117.0,97.0,38.0,15500.0,Unknown,700.0,1240.0,700.0,350.0
Piston,Unknown,False,60.0,21.91666667,7.0,35.08333333,87.1,750.0,1220.0,85.0,75.0,38.0,8500.0,Unknown,400.0,850.0,,261.0
Piston,True,False,160.0,29.58333333,10.33333333,36.75,536.0,2588.0,3800.0,168.0,160.0,63.0,17400.0,4250.0,1160.0,1805.0,1330.0,680.0
Piston,Unknown,False,180.0,22.0,7.583333333,31.5,341.7,1360.0,2400.0,148.0,139.0,53.0,13800.0,Unknown,850.0,1550.0,1120.0,530.0
Piston,Unknown,False,150.0,22.0,8.0,31.5,247.9,1323.0,2200.0,136.0,127.0,52.0,12650.0,Unknown,660.0,1600.0,1100.0,428.0
Piston,Unknown,False,150.0,22.0,8.0,31.41666667,254.6,1271.0,2200.0,130.0,122.0,50.0,12650.0,Unknown,660.0,1600.0,1100.0,503.0
Piston,Unknown,False,108.0,19.16666667,7.5,24.41666667,160.8,975.0,1560.0,120.0,108.0,52.0,12750.0,Unknown,705.0,1590.0,1100.0,348.0
Piston,Unknown,False,108.0,19.25,6.666666667,24.41666667,160.8,1007.0,1500.0,120.0,109.0,51.0,13750.0,Unknown,765.0,1400.0,1065.0,350.0
Piston,Unknown,False,100.0,22.41666667,7.5,35.5,134.0,845.0,1320.0,90.0,84.0,33.0,15000.0,Unknown,700.0,,,275.0
Piston,Unknown,False,180.0,22.58333333,6.583333333,35.5,348.4,1190.0,1800.0,126.0,113.0,36.0,20000.0,Unknown,1500.0,,,696.0
Piston,Unknown,False,600.0,29.33333333,8.75,44.33333333,361.8,3400.0,6000.0,122.0,96.0,61.0,15000.0,Unknown,1000.0,1200.0,800.0,275.0
Piston,Unknown,False,600.0,29.33333333,9.166666667,44.33333333,670.0,3700.0,6000.0,122.0,108.0,57.0,15000.0,Unknown,900.0,,,275.0
Piston,Unknown,False,600.0,29.33333333,9.166666667,44.33333333,670.0,3700.0,6000.0,122.0,108.0,57.0,15000.0,Unknown,900.0,,,275.0
Piston,Unknown,False,800.0,29.16666667,9.166666667,44.33333333,670.0,4100.0,6000.0,135.0,119.0,50.0,25000.0,Unknown,1350.0,,,257.0
Propjet,Unknown,False,750.0,33.0,9.166666667,44.41666667,1273.0,3600.0,6000.0,138.0,130.0,57.0,25000.0,Unknown,1740.0,,,545.0
Piston,Unknown,False,1200.0,31.5,9.583333333,44.41666667,1273.0,4990.0,6000.0,138.0,135.0,57.0,28000.0,Unknown,2033.0,,,563.0
Piston,Unknown,False,80.0,20.83333333,6.75,35.41666667,113.9,622.0,1320.0,157.0,138.0,46.0,,Unknown,1000.0,820.0,721.0,350.0
Propjet,Unknown,False,1050.0,33.5,11.0,56.0,1447.2,5829.0,12500.0,158.0,126.0,52.0,8000.0,Unknown,650.0,,,600.0
Jet,True,False,,48.41666667,13.75,43.5,732.0,,15780.0,461.0,,87.0,41000.0,26000.0,3960.0,,,1900.0
Jet,True,False,,46.0,15.33333333,44.5,3670.0,8200.0,12500.0,533.6,520.26,,41000.0,28000.0,,,,1360.0
Propjet,True,False,1200.0,46.08333333,13.0,54.41666667,3752.0,9887.0,14400.0,335.0,328.0,,34800.0,18300.0,3225.0,3876.0,2630.0,1722.0
Propjet,Unknown,False,1050.0,46.66666667,14.33333333,57.91666667,1534.0,9955.0,15000.0,312.0,263.0,81.0,35000.0,Unknown,2700.0,,,1806.0
Propjet,True,False,1050.0,46.66666667,14.33333333,57.91666667,3611.3,9051.0,15000.0,314.0,303.0,,35000.0,24150.0,2979.0,,2508.0,1966.0
Propjet,True,False,1050.0,43.83333333,15.0,54.5,3611.3,8838.0,14000.0,316.0,300.0,,35000.0,22878.0,2844.0,,,1761.0
Propjet,Unknown,False,850.0,43.83333333,14.83333333,57.91666667,3645.0,8830.0,12590.0,310.0,259.0,80.0,35000.0,Unknown,2437.0,,,1720.0
Propjet,True,False,850.0,43.83333333,14.83333333,57.91666667,3645.0,8330.0,12500.0,310.0,181.0,,35000.0,26000.0,1923.0,,,1582.0
Propjet,True,False,850.0,43.75,15.0,54.5,3644.8,7538.0,12500.0,294.0,279.0,75.0,35000.0,21735.0,2450.0,3345.0,2845.0,1972.0
Propjet,True,False,850.0,43.75,15.0,54.5,3644.8,7538.0,12500.0,290.0,272.0,75.0,32880.0,19150.0,2450.0,3345.0,2845.0,1870.0
Propjet,True,False,715.0,39.91666667,15.41666667,45.91666667,3149.0,7082.0,11800.0,265.0,258.0,83.0,24850.0,9300.0,1963.0,2951.0,2679.0,1080.0
Propjet,True,False,680.0,39.91666667,15.41666667,45.91666667,3149.0,6797.0,11500.0,248.0,235.0,75.0,24850.0,9300.0,1963.0,3245.0,2944.0,1000.0
Propjet,True,False,680.0,39.75,15.33333333,45.83333333,2505.8,6440.0,10600.0,248.0,239.0,73.0,25900.0,11800.0,2200.0,1729.0,2138.0,1005.0
Propjet,True,False,750.0,39.83333333,15.08333333,45.91666667,3149.0,6647.0,10950.0,279.0,265.0,79.0,30450.0,15300.0,2455.0,2808.0,2275.0,1235.0
Propjet,True,False,750.0,39.83333333,15.08333333,45.91666667,3149.0,6549.0,10950.0,267.0,261.0,77.0,29802.0,14419.0,2380.0,2856.0,2275.0,1235.0
Propjet,True,False,550.0,35.5,14.25,50.25,3175.8,5996.0,10100.0,250.0,245.0,77.0,27620.0,14390.0,1870.0,2024.0,2110.0,1290.0
Propjet,True,False,550.0,35.5,14.25,50.25,2572.8,5765.0,10100.0,247.0,240.0,75.0,30000.0,15591.0,2137.0,2261.0,1672.0,1120.0
Propjet,True,False,550.0,35.5,14.25,50.25,2572.8,5765.0,9650.0,223.0,217.0,76.0,28100.0,15050.0,1955.0,2261.0,1672.0,1120.0
Propjet,True,False,550.0,35.5,14.25,50.25,2572.8,6950.0,10100.0,270.0,208.0,,30000.0,19170.0,1953.0,,,1026.0
Propjet,True,False,550.0,36.5,14.66666667,50.25,2572.8,5685.0,9650.0,223.0,219.0,74.0,27200.0,14100.0,2000.0,2180.0,2010.0,1185.0
Propjet,True,False,550.0,35.5,14.66666667,45.08333333,2572.8,5680.0,9300.0,223.0,216.0,77.0,30200.0,17700.0,1900.0,2150.0,1960.0,1160.0
Propjet,True,False,500.0,35.5,14.66666667,45.08333333,2572.8,5680.0,9000.0,243.0,235.0,75.0,28400.0,17700.0,2000.0,1755.0,1870.0,1270.0
Piston,True,False,380.0,35.5,14.25,50.25,1768.8,6035.0,8800.0,214.0,192.0,71.0,26800.0,11800.0,1275.0,1800.0,2311.0,902.0
Piston,True,False,380.0,35.5,14.66666667,50.25,1340.0,5277.0,8800.0,216.0,196.0,70.0,26800.0,11800.0,1275.0,2556.0,2572.0,656.0
Piston,True,False,380.0,35.5,14.25,50.25,1433.8,5120.0,8800.0,216.0,195.0,71.0,26800.0,11800.0,1275.0,1800.0,2311.0,716.0
Piston,True,False,380.0,35.5,14.25,50.25,1433.8,4900.0,8500.0,219.0,200.0,70.0,28500.0,13400.0,1585.0,1800.0,2143.0,716.0
Piston,True,False,380.0,35.16666667,14.5,50.25,1541.0,4800.0,8000.0,208.0,191.0,67.0,28000.0,12100.0,1300.0,1450.0,2070.0,746.0
Piston,True,False,340.0,35.5,14.25,50.33333333,1433.8,4995.0,8200.0,208.0,186.0,70.0,30000.0,14900.0,1375.0,1675.0,2107.0,755.0
Piston,True,False,340.0,35.5,14.25,45.83333333,1433.8,4980.0,7700.0,208.0,186.0,70.0,31300.0,15500.0,1300.0,1560.0,1750.0,755.0
Piston,True,False,340.0,33.25,14.08333333,45.83333333,1206.0,4640.0,7700.0,200.0,186.0,70.0,27000.0,12100.0,1300.0,1700.0,1980.0,630.0
Piston,True,False,380.0,33.83333333,12.33333333,39.25,951.4,4425.0,6775.0,246.0,233.0,73.0,30000.0,15100.0,1601.0,2626.0,3065.0,1010.0
Piston,True,False,380.0,33.83333333,12.33333333,39.25,951.4,4175.0,6775.0,249.0,240.0,76.0,30800.0,15100.0,1601.0,2626.0,3065.0,824.0
Piston,True,False,380.0,33.83333333,12.33333333,39.25,951.4,4100.0,6725.0,249.0,236.0,76.0,31300.0,15700.0,1615.0,1660.0,2340.0,824.0
Piston,True,False,450.0,35.16666667,9.333333333,49.66666667,1326.6,5845.0,9900.0,204.0,191.0,76.0,20300.0,7900.0,1400.0,2072.0,1850.0,622.0
Piston,True,False,450.0,35.08333333,9.5,49.5,1842.5,5910.0,9700.0,200.0,186.0,73.0,21400.0,8000.0,1410.0,1980.0,1850.0,880.0
Piston,True,False,450.0,33.08333333,9.166666667,47.58333333,1380.2,6150.0,9300.0,203.0,187.0,71.0,23000.0,8400.0,1250.0,2079.0,1569.0,638.0
Piston,True,False,450.0,33.08333333,9.166666667,47.58333333,1380.2,5770.0,8750.0,200.0,183.0,67.0,20500.0,7750.0,1190.0,1760.0,1460.0,632.0
Piston,True,False,340.0,31.41666667,11.41666667,45.75,1206.0,4480.0,7300.0,204.0,180.0,72.0,29500.0,12500.0,1270.0,1250.0,1840.0,787.0
Piston,True,False,340.0,31.41666667,11.41666667,45.75,1206.0,4460.0,7000.0,209.0,184.0,72.0,29500.0,12500.0,1320.0,1250.0,1840.0,813.0
Piston,True,False,295.0,31.41666667,11.41666667,45.75,897.8,4100.0,6300.0,186.0,178.0,62.0,20000.0,7000.0,1450.0,1260.0,1452.0,670.0
Piston,True,False,275.0,31.41666667,11.41666667,45.16666667,897.8,3956.0,6000.0,178.0,161.0,60.0,20000.0,6500.0,1450.0,1260.0,1375.0,726.0
Piston,True,False,260.0,31.41666667,11.41666667,45.16666667,897.8,3940.0,6000.0,177.0,159.0,60.0,20000.0,6500.0,1450.0,1344.0,1215.0,733.0
Piston,True,False,260.0,31.41666667,11.41666667,45.16666667,897.8,3800.0,5500.0,177.0,158.0,56.0,19000.0,6500.0,1450.0,1350.0,1215.0,722.0
Piston,True,False,325.0,29.91666667,9.166666667,37.83333333,1112.2,4026.0,6200.0,261.0,232.0,78.0,25000.0,12220.0,1475.0,2643.0,2427.0,1013.0
Piston,True,False,310.0,29.83333333,9.166666667,37.83333333,1112.2,3985.0,6100.0,256.0,214.0,79.0,25000.0,14400.0,1529.0,2376.0,2498.0,1130.0
Piston,True,False,310.0,29.83333333,9.166666667,37.83333333,1112.2,3985.0,6100.0,231.0,207.0,79.0,25000.0,13220.0,1424.0,2761.0,2498.0,1104.0
Piston,True,False,325.0,29.91666667,9.166666667,37.83333333,1112.2,3788.0,6200.0,261.0,232.0,78.0,25000.0,13490.0,1475.0,2643.0,2427.0,1013.0
Piston,True,False,310.0,29.83333333,9.5,37.83333333,1112.2,3780.0,6100.0,250.0,214.0,79.0,25000.0,14400.0,1461.0,2376.0,2498.0,1130.0
Piston,True,False,300.0,29.83333333,9.5,37.83333333,911.2,3443.0,5500.0,208.0,195.0,74.0,20688.0,7284.0,1750.0,2371.0,2498.0,1109.0
Piston,True,False,285.0,29.83333333,9.5,37.83333333,911.2,3361.0,5400.0,208.0,195.0,74.0,18600.0,7000.0,1660.0,2101.0,2498.0,1109.0
Piston,True,False,380.0,29.0,9.25,37.83333333,951.4,3700.0,5990.0,252.0,247.0,73.0,32200.0,18600.0,2020.0,1420.0,2080.0,737.0
Piston,True,False,380.0,28.25,9.583333333,37.83333333,951.4,3650.0,5990.0,252.0,247.0,73.0,32200.0,18600.0,2020.0,1420.0,2080.0,737.0
Piston,True,False,285.0,29.0,9.166666667,37.83333333,670.0,3291.0,5300.0,208.0,195.0,73.0,19100.0,6600.0,1682.0,968.0,1414.0,934.0
Piston,True,False,285.0,28.25,9.583333333,37.83333333,750.4,3075.0,5300.0,210.0,200.0,67.0,20900.0,7100.0,1670.0,968.0,1414.0,550.0
Piston,True,False,260.0,28.0,9.583333333,37.83333333,670.0,3236.0,5100.0,201.0,184.0,73.0,19300.0,6400.0,1693.0,2154.0,2148.0,739.0
Piston,True,False,260.0,27.0,9.583333333,37.83333333,750.4,3075.0,5100.0,205.0,196.0,68.0,19700.0,7000.0,1670.0,1225.0,1370.0,763.0
Piston,True,False,260.0,26.41666667,9.5,37.66666667,750.4,2960.0,4880.0,200.0,191.0,66.0,19500.0,7600.0,1700.0,1700.0,1470.0,745.0
Piston,True,False,260.0,25.58333333,9.5,37.66666667,750.4,2960.0,4880.0,200.0,191.0,66.0,19200.0,7600.0,1630.0,1700.0,1470.0,745.0
Piston,True,False,180.0,25.08333333,9.5,37.08333333,536.0,2650.0,4200.0,183.0,174.0,61.0,18100.0,4400.0,1250.0,1280.0,1590.0,661.0
Piston,True,False,180.0,25.25,9.5,37.08333333,536.0,2635.0,4200.0,183.0,174.0,61.0,18100.0,4400.0,1250.0,2100.0,1850.0,661.0
Piston,True,False,180.0,25.25,9.416666667,37.75,536.0,2635.0,4100.0,183.0,170.0,61.0,18100.0,4400.0,1250.0,2100.0,1850.0,661.0
Piston,True,False,180.0,29.0,9.5,38.0,670.0,2460.0,3900.0,171.0,158.0,60.0,19650.0,6170.0,1248.0,2119.0,1881.0,843.0
Piston,Unknown,False,300.0,27.5,8.416666667,37.83333333,683.4,2338.0,3850.0,213.0,190.0,57.0,25000.0,Unknown,1049.0,2364.0,1692.0,957.0
Piston,Unknown,False,300.0,27.5,8.416666667,33.5,495.8,2278.0,3650.0,214.0,190.0,57.0,25000.0,Unknown,1165.0,2012.0,1449.0,800.0
Piston,Unknown,False,300.0,27.5,8.416666667,33.5,495.8,2247.0,3650.0,184.0,169.0,59.0,18500.0,Unknown,1210.0,1913.0,1473.0,720.0
Piston,Unknown,False,285.0,27.5,8.416666667,33.5,495.8,2195.0,3600.0,179.0,168.0,52.0,16600.0,Unknown,1030.0,2040.0,1450.0,697.0
Piston,Unknown,False,285.0,26.33333333,8.416666667,32.83333333,335.0,1980.0,3600.0,177.0,170.0,56.0,16000.0,Unknown,1015.0,1525.0,1240.0,510.0
Piston,Unknown,False,285.0,26.33333333,6.5,33.41666667,335.0,2027.0,3400.0,217.0,200.0,55.0,29500.0,Unknown,1225.0,1320.0,1177.0,600.0
Piston,Unknown,False,285.0,26.41666667,7.583333333,33.5,495.8,,3400.0,182.0,172.0,51.0,17858.0,Unknown,1167.0,1769.0,1324.0,717.0
Piston,Unknown,False,285.0,26.33333333,6.5,33.41666667,294.8,1960.0,3400.0,183.0,177.0,55.0,17500.0,Unknown,1136.0,1320.0,1177.0,536.0
Piston,Unknown,False,285.0,26.33333333,6.5,33.41666667,335.0,1950.0,3400.0,209.0,195.0,55.0,26600.0,Unknown,1225.0,1320.0,1177.0,580.0
Piston,Unknown,False,285.0,26.33333333,6.5,33.41666667,335.0,1915.0,3400.0,183.0,177.0,55.0,17500.0,Unknown,1136.0,1320.0,1177.0,543.0
Piston,Unknown,False,285.0,26.33333333,6.5,33.41666667,335.0,1915.0,3300.0,184.0,178.0,54.0,18300.0,Unknown,1200.0,1225.0,1150.0,543.0
Piston,Unknown,False,260.0,25.16666667,6.416666667,33.41666667,335.0,1855.0,3125.0,178.0,170.0,52.0,19200.0,Unknown,1150.0,1260.0,1100.0,535.0
Piston,Unknown,False,250.0,25.08333333,6.416666667,33.41666667,328.3,1832.0,2950.0,183.0,170.0,52.0,20000.0,Unknown,1170.0,1185.0,1050.0,495.0
Piston,Unknown,False,250.0,25.08333333,6.5,32.75,261.3,1820.0,2900.0,183.0,174.0,50.0,21300.0,Unknown,1250.0,1175.0,1050.0,492.0
Piston,Unknown,False,240.0,25.08333333,6.5,32.75,261.3,1820.0,2900.0,179.0,165.0,50.0,19800.0,Unknown,1225.0,1260.0,1050.0,470.0
Piston,Unknown,False,225.0,25.08333333,6.5,32.75,261.3,1722.0,2775.0,169.0,160.0,48.0,19000.0,Unknown,1300.0,1270.0,1025.0,550.0
Piston,Unknown,False,205.0,25.08333333,6.5,32.75,261.3,1650.0,2700.0,165.0,152.0,48.0,18000.0,Unknown,1100.0,1500.0,975.0,510.0
Piston,Unknown,False,196.0,25.08333333,6.5,32.75,261.3,1575.0,2650.0,160.0,148.0,49.0,17100.0,Unknown,890.0,1515.0,950.0,470.0
Piston,Unknown,False,185.0,25.08333333,6.5,32.75,261.3,1458.0,2550.0,160.0,150.0,48.0,18000.0,Unknown,950.0,1440.0,925.0,530.0
Piston,Unknown,False,260.0,25.41666667,8.25,32.75,335.0,1935.0,3300.0,177.0,168.0,49.0,16600.0,Unknown,1060.0,1516.0,1150.0,513.0
Piston,Unknown,False,285.0,25.5,8.25,32.75,335.0,1918.0,3300.0,181.0,174.0,53.0,18300.0,Unknown,1200.0,1225.0,1150.0,520.0
Piston,Unknown,False,285.0,26.66666667,8.25,33.5,495.8,2125.0,3400.0,182.0,172.0,51.0,17858.0,Unknown,1167.0,1769.0,1324.0,717.0
Piston,Unknown,False,285.0,25.5,8.25,32.83333333,335.0,1915.0,3300.0,181.0,174.0,53.0,18300.0,Unknown,1200.0,1225.0,1150.0,520.0
Piston,Unknown,False,225.0,25.5,8.25,32.83333333,335.0,1862.0,3050.0,170.0,161.0,52.0,17800.0,Unknown,930.0,1288.0,1298.0,520.0
Piston,Unknown,False,285.0,25.5,8.25,32.83333333,335.0,1775.0,3300.0,181.0,174.0,53.0,18300.0,Unknown,1200.0,1225.0,1150.0,520.0
Piston,Unknown,False,225.0,25.5,8.25,32.83333333,335.0,1854.0,3050.0,170.0,161.0,52.0,18300.0,Unknown,980.0,1288.0,1298.0,568.0
Piston,Unknown,False,225.0,25.5,8.25,32.83333333,335.0,1745.0,3000.0,170.0,161.0,52.0,18400.0,Unknown,960.0,1235.0,1282.0,568.0
Piston,Unknown,False,225.0,25.41666667,8.25,32.66666667,335.0,1730.0,2900.0,170.0,161.0,52.0,19800.0,Unknown,1010.0,1235.0,1282.0,550.0
Piston,Unknown,False,200.0,25.75,8.083333333,32.75,381.9,1696.0,2750.0,145.0,137.0,60.0,15385.0,Unknown,927.0,1561.0,1462.0,647.0
Piston,Unknown,False,200.0,25.66666667,8.25,32.75,348.4,1711.0,2750.0,140.0,131.0,55.0,14342.0,Unknown,891.0,1804.0,1519.0,591.0
Piston,Unknown,False,200.0,25.66666667,8.25,32.75,395.3,1610.0,2750.0,148.0,141.0,57.0,14350.0,Unknown,862.0,1630.0,1380.0,704.0
Piston,Unknown,False,200.0,25.08333333,8.166666667,32.58333333,402.0,1410.0,2550.0,137.0,130.0,52.0,14850.0,Unknown,880.0,1380.0,1300.0,643.0
Piston,Unknown,False,180.0,25.75,8.25,32.75,381.9,1494.0,2450.0,128.0,116.0,51.0,12600.0,Unknown,792.0,1955.0,1484.0,565.0
Piston,Unknown,False,180.0,25.08333333,8.166666667,32.58333333,402.0,1375.0,2400.0,127.0,120.0,50.0,11870.0,Unknown,728.0,1460.0,1260.0,565.0
Piston,Unknown,False,165.0,25.08333333,8.166666667,32.58333333,402.0,1325.0,2350.0,127.0,120.0,50.0,11870.0,Unknown,880.0,1460.0,1260.0,565.0
Piston,Unknown,False,160.0,25.08333333,8.166666667,32.58333333,402.0,1300.0,2300.0,123.0,111.0,52.0,13500.0,Unknown,720.0,1275.0,1260.0,800.0
Piston,Unknown,False,150.0,25.75,8.25,32.75,381.9,1414.0,2150.0,110.0,107.0,50.0,11650.0,Unknown,680.0,1635.0,1693.0,643.0
Piston,Unknown,False,150.0,25.08333333,8.166666667,32.58333333,402.0,1325.0,2200.0,122.0,114.0,48.0,14900.0,Unknown,900.0,1255.0,1220.0,800.0
Piston,Unknown,False,115.0,24.0,6.916666667,30.0,194.3,1103.0,1675.0,106.0,97.0,47.0,12900.0,Unknown,720.0,1280.0,1313.0,370.0
Piston,Unknown,False,300.0,26.33333333,7.333333333,34.16666667,455.6,2372.0,3325.0,193.0,187.0,61.0,24000.0,Unknown,1170.0,1420.0,1340.0,760.0
Piston,Unknown,False,300.0,26.33333333,7.333333333,34.16666667,455.6,2247.0,3325.0,174.0,165.0,61.0,18200.0,Unknown,1170.0,1420.0,1340.0,483.0
Piston,Unknown,False,250.0,23.58333333,7.333333333,34.16666667,482.4,2010.0,3200.0,193.0,187.0,54.0,24000.0,Unknown,1800.0,890.0,1100.0,760.0
